transaction_id,product_id,quantity,unit_price
T000001,P0107,5.0,342000.0
T000002,P0028,4.0,4673000.0
T000002,P0007,10.0,13039000.0
T000003,P0065,2.0,2418000.0
T000004,P0092,2.0,999000.0
T000004,P0116,5.0,105000.0
T000004,P0027,4.0,
T000004,P0144,2.0,1582000.0
T000005,P0107,1.0,342000.0
T000005,P0081,,841000.0
T000005,P0142,2.0,1772000.0
T000005,P0014,5.0,13426000.0
T000006,P0051,1.0,1453000.0
T000006,P0050,2.0,2853000.0
T000006,P0076,2.0,4539000.0
T000006,P0115,5.0,98000.0
T000006,P0046,1.0,1256000.0
T000007,P0042,3.0,1715000.0
T000007,P0150,4.0,339000.0
T000007,P0066,10.0,1033000.0
T000007,P0002,1.0,10310000.0
T000008,P0078,4.0,6925000.0
T000009,P0135,2.0,724000.0
T000010,P0107,5.0,342000.0
T000010,P0140,4.0,377000.0
T000011,P0076,5.0,4539000.0
T000011,P0056,1.0,2859000.0
T000011,P0136,1.0,562000.0
T000011,P0122,3.0,353000.0
T000012,P0030,12.0,4862000.0
T000013,P0132,5.0,487000.0
T000014,P0132,2.0,487000.0
T000014,P0022,5.0,1213000.0
T000014,P0025,5.0,13204000.0
T000015,P0109,1.0,24000.0
T000016,P0019,1.0,1524000.0
T000016,P0040,4.0,1336000.0
T000017,P0065,5.0,2418000.0
T000017,P0143,2.0,424000.0
T000017,P0019,3.0,1524000.0
T000018,P0005,4.0,6239000.0
T000019,P0017,5.0,756000.0
T000020,P0075,3.0,2533000.0
T000020,P0078,4.0,6925000.0
T000020,P0023,4.0,11938000.0
T000021,P0057,4.0,1257000.0
T000021,P0035,5.0,1179000.0
T000022,P0003,1.0,9410000.0
T000022,P0142,1.0,1772000.0
T000022,P0143,,424000.0
T000022,P0037,5.0,1390000.0
T000022,P0032,4.0,4366000.0
T000023,P0089,2.0,606000.0
T000024,P0065,2.0,2418000.0
T000025,P0141,1.0,1740000.0
T000025,P0019,3.0,1524000.0
T000025,P0075,1.0,2533000.0
T000026,P0061,3.0,259000.0
T000026,P0026,5.0,13226000.0
T000027,P0079,5.0,564000.0
T000028,P0002,2.0,10310000.0
T000028,P0081,4.0,841000.0
T000028,P0064,3.0,2416000.0
T000029,P0119,,51000.0
T000030,P0021,3.0,1595000.0
T000031,P0020,,348000.0
T000032,P0104,1.0,281000.0
T000032,P0055,5.0,1823000.0
T000033,P0094,2.0,1179000.0
T000033,P0101,5.0,87000.0
T000034,P0024,3.0,10937000.0
T000034,P0102,5.0,120000.0
T000035,P0036,2.0,1437000.0
T000035,P0115,5.0,98000.0
T000035,P0041,5.0,473000.0
T000036,P0011,1.0,12678000.0
T000036,P0057,9.0,1257000.0
T000036,P0125,3.0,167000.0
